Anos_de_Atraso;CO_PESSOA_FISICA;NU_ANO;Raça/Cor;etapa;idade_calculada;Sexo;Zona Residencial;Evasao;rep;prom;Probabilidade de Evasão;Probabilidade de Repetência;Probabilidade de Promoção
2.0;121442564112;2007;Parda;3.0;10;Feminino;Urbana;0;1;0;29.0;13.0;57.0
1.0;150046172288;2009;Parda;2.0;8;Feminino;Urbana;1;0;0;40.0;6.0;54.0
1.0;128275736284;2009;Parda;2.0;8;Masculino;Urbana;1;0;0;41.0;7.0;52.0
1.0;130133730246;2009;Preta;2.0;8;Feminino;Urbana;0;0;1;40.0;6.0;54.0
0.0;130130976988;2010;Preta;2.0;7;Feminino;Urbana;0;0;1;39.0;2.0;59.0
0.0;130137550757;2010;Parda;2.0;7;Feminino;Urbana;0;0;1;39.0;2.0;59.0
1.0;125380279855;2009;Branco;2.0;8;Masculino;Urbana;0;0;1;41.0;6.0;53.0
1.0;125021998918;2009;Preta;2.0;8;Masculino;Urbana;0;0;1;41.0;7.0;52.0
2.0;125014384349;2008;Preta;2.0;9;Masculino;Urbana;0;0;1;41.0;17.0;43.0
1.0;125012905180;2009;Branco;2.0;8;Masculino;Urbana;0;0;1;41.0;6.0;53.0
1.0;150046755976;2009;Parda;2.0;8;Masculino;Urbana;1;0;0;41.0;7.0;52.0
1.0;149912732692;2009;Branco;2.0;8;Masculino;Urbana;1;0;0;41.0;6.0;53.0
1.0;130406662826;2009;Parda;2.0;8;Feminino;Urbana;1;0;0;40.0;6.0;54.0
2.0;150074175210;2007;Branco;3.0;10;Masculino;Urbana;1;0;0;30.0;14.0;56.0
1.0;130132962321;2008;Branco;3.0;9;Feminino;Urbana;0;0;1;30.0;5.0;65.0
1.0;121799583405;2008;Parda;3.0;9;Masculino;Urbana;0;0;1;30.0;6.0;64.0
0.0;127412894500;2009;Branco;3.0;8;Feminino;Urbana;0;0;1;29.0;2.0;69.0
0.0;127288908460;2009;Parda;3.0;8;Feminino;Urbana;0;0;1;29.0;2.0;69.0
0.0;126075408958;2009;Parda;3.0;8;Feminino;Urbana;0;0;1;29.0;2.0;69.0
1.0;125006350406;2008;Branco;3.0;9;Feminino;Urbana;0;0;1;30.0;5.0;65.0
1.0;124839553717;2008;Preta;3.0;9;Feminino;Urbana;0;0;1;30.0;5.0;65.0
1.0;123817626630;2009;Parda;2.0;8;Masculino;Urbana;0;0;1;41.0;7.0;52.0
